Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.103060811,736558915,instructions,8346116,8.32,2.82,insn per cycle
0.103060811,149393718,branches,12343754,12.3,,
0.103060811,18450,branch-misses,16884649,16.74,0.01,of all branches
0.103060811,18294,branch-load-misses,16884251,16.74,,
0.103060811,2085,cache-misses,19449492,19.28,231.153,of all cache refs
0.103060811,902,cache-references,15997775,15.86,,
0.103060811,261178276,cycles,15999305,15.86,,
0.103060811,10096805,bus-cycles,15998049,15.78,,
0.103060811,262483272,ref-cycles,19997981,19.73,,
0.103060811,9132,L1-dcache-load-misses,19997872,19.73,0,of all L1-dcache hits
0.103060811,233845236,L1-dcache-loads,11999337,11.84,,
0.103060811,122560320,L1-dcache-stores,8000069,7.86,,
0.103060811,1438,L1-icache-load-misses,8000564,7.86,,
0.103060811,0,LLC-load-misses,7999452,7.86,0,of all LL-cache hits
0.103060811,0,LLC-store-misses,11999417,11.79,,
0.103060811,153,LLC-stores,8000462,7.86,,
0.103060811,191,LLC-loads,8000510,7.86,,
0.103060811,123331064,dTLB-stores,8000723,7.82,,
0.103060811,13,dTLB-load-misses,7998179,7.82,,
0.103060811,0,dTLB-store-misses,7997517,7.82,,
0.103060811,0,iTLB-loads,11996962,11.73,,
0.103060811,0,iTLB-load-misses,15997286,15.56,0,of all iTLB cache hits
0.103060811,0,node-load-misses,16001404,15.57,,
0.103060811,39,node-loads,16000389,15.57,,
0.103060811,13,node-store-misses,7993609,7.78,,
0.103060811,68,node-stores,7513634,7.31,,
0.203316015,769274916,instructions,9593343,9.44,2.92,insn per cycle
0.203316015,155094497,branches,13593078,13.38,,
0.203316015,18231,branch-misses,17591300,17.32,0.01,of all branches
0.203316015,18233,branch-load-misses,17730184,17.45,,
0.203316015,327,cache-misses,19724713,19.42,40.901,of all cache refs
0.203316015,697,cache-references,15998924,15.75,,
0.203316015,264893298,cycles,15999464,15.75,,
0.203316015,10138671,bus-cycles,15999057,15.75,,
0.203316015,263582158,ref-cycles,19998852,19.69,,
0.203316015,8997,L1-dcache-load-misses,20000194,19.69,0,of all L1-dcache hits
