Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.103656389,142237479,branches,2875138,2.86,1402.952,M/sec
0.103656389,20064,branch-misses,6864239,6.8,0.01,of all branches
0.103656389,9971151,bus-cycles,10858460,10.76,98.35,M/sec
0.103656389,5307,cache-misses,14847719,14.72,187.394,of all cache refs
0.103656389,2832,cache-references,15995915,15.86,0.028,M/sec
0.103656389,261175735,cycles,15999445,15.86,2.576,GHz
0.103656389,755198097,instructions,19999620,19.73,2.89,insn per cycle
0.103656389,262518723,ref-cycles,23999281,23.67,2589.339,M/sec
0.103656389,0,alignment-faults,101396853,100,0,K/sec
0.103656389,0,bpf-output,101394343,100,0,K/sec
0.103656389,0,context-switches,101392520,100,0,K/sec
0.103656389,101.391358,cpu-clock,101390195,100,,
0.103656389,0,cpu-migrations,101390368,100,0,K/sec
0.103656389,0,dummy,101388570,100,0,K/sec
0.103656389,0,emulation-faults,101386490,100,0,K/sec
0.103656389,0,major-faults,101383630,100,0,K/sec
0.103656389,0,minor-faults,101381681,100,0,K/sec
0.103656389,0,page-faults,101379761,100,0,K/sec
0.103656389,101.377552,task-clock,101377402,100,,
0.103656389,9851,L1-dcache-load-misses,23999033,23.68,0,of all L1-dcache hits
0.103656389,232731783,L1-dcache-loads,16001958,15.79,2295.537,M/sec
0.103656389,121869294,L1-dcache-stores,8000813,7.86,1202.051,M/sec
0.103656389,2840,L1-icache-load-misses,7996311,7.85,,
0.103656389,140,LLC-load-misses,7997667,7.85,48.44,of all LL-cache hits
0.103656389,289,LLC-loads,11995104,11.78,0.003,M/sec
0.103656389,0,LLC-store-misses,7997387,7.82,0,K/sec
0.103656389,0,LLC-stores,8000234,7.82,0,K/sec
0.103656389,18229,branch-load-misses,11999882,11.73,0.18,M/sec
0.103656389,153816091,branch-loads,15999852,15.64,1517.157,M/sec
0.103656389,0,dTLB-load-misses,16000161,15.64,0,of all dTLB cache hits
0.103656389,235257986,dTLB-loads,7999867,7.82,2320.454,M/sec
0.103656389,0,dTLB-store-misses,7999505,7.78,0,K/sec
0.103656389,123359682,dTLB-stores,8000205,7.78,1216.751,M/sec
0.103656389,90,iTLB-load-misses,8002749,7.78,0,of all iTLB cache hits
0.103656389,0,iTLB-loads,7999559,7.78,0,K/sec
