Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.103069183,739039116,instructions,8338558,8.31,2.83,insn per cycle
0.103069183,149809334,branches,12336760,12.3,1477.758,M/sec
0.103069183,18809,branch-misses,16863894,16.72,0.01,of all branches
0.103069183,18822,branch-load-misses,16857357,16.71,0.186,M/sec
0.103069183,2962,cache-misses,19201168,19.04,123.674,of all cache refs
0.103069183,2395,cache-references,15999534,15.87,0.024,M/sec
0.103069183,261120660,cycles,15995011,15.86,2.576,GHz
0.103069183,0,context-switches,101376700,100,0,K/sec
0.103069183,101.375014,cpu-clock,101374779,100,,
0.103069183,0,minor-faults,101379940,100,0,K/sec
0.103069183,0,page-faults,101378791,100,0,K/sec
0.103069183,101.377218,task-clock,101377070,100,,
0.103069183,10094351,bus-cycles,15999135,15.79,99.573,M/sec
0.103069183,262447738,ref-cycles,20001206,19.74,2588.852,M/sec
0.103069183,11005,L1-dcache-load-misses,19997705,19.74,0,of all L1-dcache hits
0.103069183,234223029,L1-dcache-loads,11999840,11.84,2310.436,M/sec
0.103069183,122942609,L1-dcache-stores,8001803,7.86,1212.737,M/sec
0.103069183,2202,L1-icache-load-misses,7998155,7.86,,
0.103069183,445,LLC-load-misses,8000119,7.86,290.85,of all LL-cache hits
0.103069183,76,LLC-store-misses,11996349,11.78,0.75,K/sec
0.103069183,115,LLC-stores,7995518,7.86,0.001,M/sec
0.103069183,153,LLC-loads,8000966,7.86,0.002,M/sec
0.103069183,123682034,dTLB-stores,8001846,7.82,1220.031,M/sec
0.103069183,0,dTLB-load-misses,8000151,7.82,,
0.103069183,0,dTLB-store-misses,7998021,7.82,0,K/sec
0.103069183,239,iTLB-loads,12001740,11.74,0.002,M/sec
0.103069183,6,iTLB-load-misses,15998321,15.57,2.51,of all iTLB cache hits
0.103069183,90,node-load-misses,15997833,15.57,0.888,K/sec
0.103069183,565,node-loads,16000062,15.57,0.006,M/sec
0.103069183,13,node-store-misses,8000767,7.79,0.128,K/sec
0.103069183,185,node-stores,7776975,7.57,0.002,M/sec
0.203323968,769055083,instructions,9598648,9.45,2.92,insn per cycle
0.203323968,155184122,branches,13596283,13.38,1527.604,M/sec
0.203323968,18320,branch-misses,17594628,17.32,0.01,of all branches
0.203323968,18300,branch-load-misses,17604028,17.33,0.18,M/sec
0.203323968,5,cache-misses,19599970,19.29,0.322,of all cache refs
0.203323968,710,cache-references,16001087,15.75,0.007,M/sec
0.203323968,264926795,cycles,15997617,15.75,2.608,GHz
0.203323968,0,context-switches,101589478,100,0,K/sec
0.203323968,101.80169,cpu-clock,101588243,100,,
0.203323968,0,minor-faults,101586650,100,0,K/sec
0.203323968,0,page-faults,101585683,100,0,K/sec
0.203323968,101.792425,task-clock,101584749,100,,
0.203323968,10138504,bus-cycles,15999317,15.75,99.802,M/sec
0.203323968,263628413,ref-cycles,20000864,19.69,2595.11,M/sec
0.203323968,10317,L1-dcache-load-misses,19998748,19.69,0,of all L1-dcache hits
0.203323968,235311432,L1-dcache-loads,11999835,11.82,2316.363,M/sec
0.203323968,122227419,L1-dcache-stores,8000627,7.88,1203.185,M/sec
0.203323968,1684,L1-icache-load-misses,7999910,7.88,,
0.203323968,0,LLC-load-misses,8001001,7.88,0,of all LL-cache hits
0.203323968,0,LLC-store-misses,11999436,11.82,0,K/sec
0.203323968,190,LLC-stores,7998958,7.88,0.002,M/sec
0.203323968,481,LLC-loads,7999327,7.88,0.005,M/sec
0.203323968,121409532,dTLB-stores,8000687,7.88,1195.133,M/sec
0.203323968,0,dTLB-load-misses,8000772,7.88,,
0.203323968,0,dTLB-store-misses,7998934,7.88,0,K/sec
0.203323968,0,iTLB-loads,11998795,11.82,0,K/sec
0.203323968,0,iTLB-load-misses,15997287,15.76,0,of all iTLB cache hits
0.203323968,150,node-load-misses,15997891,15.76,0.001,M/sec
0.203323968,0,node-loads,15997949,15.76,0,K/sec
0.203323968,213,node-store-misses,8001290,7.88,0.002,M/sec
0.203323968,448,node-stores,6016550,5.93,0.004,M/sec
0.303522794,748176838,instructions,9136717,9.03,2.86,insn per cycle
0.303522794,150965184,branches,13135052,12.99,1492.811,M/sec
0.303522794,17882,branch-misses,17133830,16.94,0.01,of all branches
0.303522794,17779,branch-load-misses,18402005,18.2,0.176,M/sec
0.303522794,5,cache-misses,19732531,19.51,0.405,of all cache refs
0.303522794,601,cache-references,16000873,15.82,0.006,M/sec
0.303522794,259434085,cycles,15998368,15.82,2.565,GHz
0.303522794,0,context-switches,101130059,100,0,K/sec
0.303522794,100.211336,cpu-clock,101129273,100,,
0.303522794,0,minor-faults,101128171,100,0,K/sec
0.303522794,0,page-faults,101127531,100,0,K/sec
0.303522794,100.211036,task-clock,101126843,100,,
0.303522794,9979271,bus-cycles,15999583,15.82,98.679,M/sec
0.303522794,259502989,ref-cycles,20000840,19.78,2566.081,M/sec
0.303522794,10308,L1-dcache-load-misses,19998411,19.78,0,of all L1-dcache hits
0.303522794,231254145,L1-dcache-loads,14666729,14.51,2286.744,M/sec
0.303522794,120748079,L1-dcache-stores,8001034,7.91,1194.011,M/sec
0.303522794,1440,L1-icache-load-misses,8000271,7.91,,
0.303522794,63,LLC-load-misses,8000699,7.91,14.16,of all LL-cache hits
0.303522794,92,LLC-store-misses,11999826,11.87,0.91,K/sec
0.303522794,238,LLC-stores,7999248,7.91,0.002,M/sec
0.303522794,701,LLC-loads,7999693,7.91,0.007,M/sec
0.303522794,121022513,dTLB-stores,7999902,7.91,1196.725,M/sec
0.303522794,0,dTLB-load-misses,8000606,7.91,,
0.303522794,0,dTLB-store-misses,7999379,7.91,0,K/sec
0.303522794,0,iTLB-loads,12000047,11.87,0,K/sec
0.303522794,0,iTLB-load-misses,15997980,15.83,0,of all iTLB cache hits
0.303522794,175,node-load-misses,15997502,15.83,0.002,M/sec
0.303522794,0,node-loads,15998301,15.83,0,K/sec
0.303522794,427,node-store-misses,6743411,6.67,0.004,M/sec
0.303522794,381,node-stores,5412246,5.36,0.004,M/sec
0.403706446,749863136,instructions,9808536,9.72,2.87,insn per cycle
0.403706446,151252986,branches,13806383,13.68,1499.164,M/sec
0.403706446,17839,branch-misses,17804921,17.65,0.01,of all branches
0.403706446,17787,branch-load-misses,18801513,18.64,0.176,M/sec
0.403706446,145,cache-misses,19799237,19.62,13.143,of all cache refs
0.403706446,707,cache-references,16001664,15.86,0.007,M/sec
0.403706446,259403815,cycles,15998370,15.86,2.571,GHz
0.403706446,0,context-switches,100892969,100,0,K/sec
0.403706446,100.181964,cpu-clock,100892446,100,,
0.403706446,0,minor-faults,100891629,100,0,K/sec
0.403706446,0,page-faults,100891157,100,0,K/sec
0.403706446,100.181996,task-clock,100890632,100,,
0.403706446,9977331,bus-cycles,15998651,15.86,98.892,M/sec
0.403706446,259446088,ref-cycles,19999696,19.83,2571.533,M/sec
0.403706446,9717,L1-dcache-load-misses,19999276,19.83,0,of all L1-dcache hits
0.403706446,231596708,L1-dcache-loads,15998944,15.86,2295.501,M/sec
0.403706446,121076302,L1-dcache-stores,8000342,7.93,1200.063,M/sec
0.403706446,1853,L1-icache-load-misses,8000159,7.93,,
0.403706446,0,LLC-load-misses,8000385,7.93,0,of all LL-cache hits
0.403706446,0,LLC-store-misses,11999798,11.9,0,K/sec
0.403706446,25,LLC-stores,7999406,7.93,0.248,K/sec
0.403706446,138,LLC-loads,8000130,7.93,0.001,M/sec
0.403706446,120892267,dTLB-stores,7999977,7.93,1198.239,M/sec
0.403706446,0,dTLB-load-misses,7999967,7.93,,
0.403706446,0,dTLB-store-misses,8000088,7.93,0,K/sec
0.403706446,0,iTLB-loads,12000045,11.9,0,K/sec
0.403706446,0,iTLB-load-misses,15998393,15.86,0,of all iTLB cache hits
0.403706446,44,node-load-misses,15998079,15.86,0.436,K/sec
0.403706446,0,node-loads,15100656,14.97,0,K/sec
0.403706446,407,node-store-misses,6104945,6.05,0.004,M/sec
0.403706446,103,node-stores,6001393,5.95,0.001,M/sec
0.503890248,749914075,instructions,10247008,10.17,2.87,insn per cycle
0.503890248,151267004,branches,14244759,14.14,1501.41,M/sec
0.503890248,17860,branch-misses,18243477,18.11,0.01,of all branches
0.503890248,17830,branch-load-misses,19041703,18.9,0.177,M/sec
0.503890248,155,cache-misses,19838943,19.69,16.039,of all cache refs
0.503890248,419,cache-references,16001545,15.88,0.004,M/sec
0.503890248,259428470,cycles,15998740,15.88,2.575,GHz
0.503890248,0,context-switches,100751108,100,0,K/sec
0.503890248,100.183446,cpu-clock,100750647,100,,
0.503890248,0,minor-faults,100749979,100,0,K/sec
0.503890248,0,page-faults,100749613,100,0,K/sec
0.503890248,100.183541,task-clock,100749213,100,,
