Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.103619979,142719405,branches,2961559,2.95,1407.867,M/sec
0.103619979,20495,branch-misses,6951768,6.89,0.01,of all branches
0.103619979,9974569,bus-cycles,10944380,10.85,98.395,M/sec
0.103619979,5046,cache-misses,14936499,14.8,204.706,of all cache refs
0.103619979,2465,cache-references,15999135,15.86,0.024,M/sec
0.103619979,261212809,cycles,15998375,15.86,2.577,GHz
0.103619979,754215784,instructions,19997866,19.73,2.89,insn per cycle
0.103619979,262528897,ref-cycles,23997673,23.67,2589.737,M/sec
0.103619979,0,alignment-faults,101387176,100,0,K/sec
0.103619979,0,bpf-output,101384631,100,0,K/sec
0.103619979,0,context-switches,101382084,100,0,K/sec
0.103619979,101.380656,cpu-clock,101379727,100,,
0.103619979,0,cpu-migrations,101380577,100,0,K/sec
0.103619979,0,dummy,101377938,100,0,K/sec
0.103619979,0,emulation-faults,101375207,100,0,K/sec
0.103619979,0,major-faults,101372828,100,0,K/sec
0.103619979,0,minor-faults,101370444,100,0,K/sec
0.103619979,0,page-faults,101367392,100,0,K/sec
0.103619979,101.364963,task-clock,101364828,100,,
0.103619979,11755,L1-dcache-load-misses,23997046,23.68,0.01,of all L1-dcache hits
0.103619979,232514692,L1-dcache-loads,15998235,15.79,2293.659,M/sec
0.103619979,122045091,L1-dcache-stores,8000067,7.86,1203.923,M/sec
0.103619979,2303,L1-icache-load-misses,8000778,7.86,,
0.103619979,0,LLC-load-misses,7999293,7.86,0,of all LL-cache hits
0.103619979,526,LLC-loads,11999204,11.79,0.005,M/sec
0.103619979,0,LLC-store-misses,8000185,7.82,0,K/sec
0.103619979,524,LLC-stores,7999878,7.82,0.005,M/sec
0.103619979,18336,branch-load-misses,11999320,11.73,0.181,M/sec
0.103619979,153475139,branch-loads,16000015,15.64,1513.968,M/sec
0.103619979,0,dTLB-load-misses,16000889,15.65,0,of all dTLB cache hits
0.103619979,234734772,dTLB-loads,7999232,7.82,2315.559,M/sec
0.103619979,0,dTLB-store-misses,7998322,7.78,0,K/sec
0.103619979,123265570,dTLB-stores,8002034,7.79,1215.963,M/sec
0.103619979,0,iTLB-load-misses,8001841,7.79,0,of all iTLB cache hits
0.103619979,0,iTLB-loads,8000317,7.79,0,K/sec
0.103619979,0,node-load-misses,11997817,11.62,0,K/sec
0.103619979,13,node-loads,15998776,15.5,0.128,K/sec
0.103619979,449,node-store-misses,4599554,4.46,0.004,M/sec
0.103619979,171,node-stores,602306,0.58,0.002,M/sec
0.203887034,154965971,branches,7480158,7.34,1521.518,M/sec
0.203887034,19802,branch-misses,11476339,11.27,0.01,of all branches
0.203887034,10238948,bus-cycles,13470254,13.22,100.53,M/sec
0.203887034,0,cache-misses,15468177,15.18,0,of all cache refs
0.203887034,424,cache-references,15999674,15.71,0.004,M/sec
0.203887034,266171811,cycles,15998000,15.71,2.613,GHz
0.203887034,760432428,instructions,19997742,19.63,2.88,insn per cycle
0.203887034,264912561,ref-cycles,23997781,23.56,2601.017,M/sec
0.203887034,0,alignment-faults,101858884,100,0,K/sec
0.203887034,0,bpf-output,101857518,100,0,K/sec
0.203887034,0,context-switches,101856021,100,0,K/sec
0.203887034,102.329654,cpu-clock,101854690,100,,
0.203887034,0,cpu-migrations,101853170,100,0,K/sec
0.203887034,0,dummy,101851743,100,0,K/sec
0.203887034,0,emulation-faults,101850143,100,0,K/sec
0.203887034,0,major-faults,101848723,100,0,K/sec
0.203887034,0,minor-faults,101847243,100,0,K/sec
0.203887034,0,page-faults,101845559,100,0,K/sec
0.203887034,102.323121,task-clock,101843975,100,,
0.203887034,12317,L1-dcache-load-misses,23998382,23.57,0.01,of all L1-dcache hits
0.203887034,234748647,L1-dcache-loads,15999154,15.71,2304.856,M/sec
0.203887034,122045953,L1-dcache-stores,8000150,7.86,1198.296,M/sec
0.203887034,1387,L1-icache-load-misses,8000336,7.86,,
0.203887034,0,LLC-load-misses,7999427,7.86,0,of all LL-cache hits
0.203887034,144,LLC-loads,12000097,11.79,0.001,M/sec
0.203887034,63,LLC-store-misses,8000591,7.86,0.619,K/sec
0.203887034,203,LLC-stores,7999725,7.86,0.002,M/sec
0.203887034,24171,branch-load-misses,11999079,11.79,0.237,M/sec
0.203887034,151911028,branch-loads,15999157,15.72,1491.523,M/sec
0.203887034,0,dTLB-load-misses,15999808,15.72,0,of all dTLB cache hits
0.203887034,232327964,dTLB-loads,8000423,7.86,2281.089,M/sec
0.203887034,0,dTLB-store-misses,7999137,7.86,0,K/sec
0.203887034,120752162,dTLB-stores,8000136,7.86,1185.593,M/sec
0.203887034,0,iTLB-load-misses,8001034,7.86,0,of all iTLB cache hits
0.203887034,0,iTLB-loads,6430749,6.32,0,K/sec
0.203887034,2020,node-load-misses,8431366,8.29,0.02,M/sec
0.203887034,0,node-loads,10433603,10.25,0,K/sec
0.203887034,118,node-store-misses,4001778,3.93,0.001,M/sec
0.203887034,81,node-stores,3999422,3.93,0.795,K/sec
0.304111875,150257325,branches,8985681,8.87,1483.172,M/sec
0.304111875,23828,branch-misses,12983012,12.81,0.02,of all branches
0.304111875,9978523,bus-cycles,14313455,14.13,98.497,M/sec
0.304111875,69,cache-misses,15646392,15.44,6.317,of all cache refs
0.304111875,388,cache-references,15999647,15.79,0.004,M/sec
0.304111875,259468958,cycles,15998625,15.79,2.561,GHz
0.304111875,744648784,instructions,19999485,19.74,2.84,insn per cycle
0.304111875,259524456,ref-cycles,23998445,23.69,2561.735,M/sec
0.304111875,0,alignment-faults,101314216,100,0,K/sec
0.304111875,0,bpf-output,101313205,100,0,K/sec
0.304111875,0,context-switches,101312182,100,0,K/sec
0.304111875,100.224821,cpu-clock,101311400,100,,
0.304111875,0,cpu-migrations,101310523,100,0,K/sec
0.304111875,0,dummy,101309505,100,0,K/sec
0.304111875,0,emulation-faults,101308473,100,0,K/sec
0.304111875,0,major-faults,101307537,100,0,K/sec
0.304111875,0,minor-faults,101306581,100,0,K/sec
